ident;DBID;Namespace;LokaalID;Naam;Vertaling naar doelen-model;SGBPPeriode.omschrijving;UitvoeringIn;KRWMaatregel.code;Toelichting;KRWMaatregelNiveau.code;HoortbijKRWWaterlichaam;OmvangNumeriekeWaarde;OmvangEenheid.code;OpnameInSGBPJN;Initiatiefnemer.naam;Kosten;Plan;Uitvoering;Uitgevoerd;Gefaseerd;Vervangen;Ingetrokken;esf;afweging;gebiedspartner (gesprekspartner bij financiering, uitvoering of beleid);kosten;totale belasting;totale oeverlengte;belastingreductie opmerking;omvang tov balansen 2018, ecologische toestand t/m 2017;eenheid;EKR;litteratuurverwijzing;wkp;WL_naam;Effect verwacht vanaf;aangepast;gebiedsteam;;;
99;;;;Verminderen inlaat hoogwatervoorzieningen;p;SGBP3 2021-2027;2021-2027;S06;Er wordt veel water ingelaten dat niet nodig is voor peilbeheer.;MW;NL11_2_5;1;n;j;Waterschap Amstel Gooi en Vecht ;opzoeken;0;0;0;0;0;0;ESF1;stimuleren;eigenaren;;15.72180005;#N/B;2/3 van inlaatdebiet is niet nodig voor peilhandhaving;3.506564445;mg/m2/dag;;Analyse E. ter Hennepe, 2019;;VaartenRondeHoep;2027;LM_20190916;Amstel;;;
100;;;;Afkoppelen Benningh (sted gebied).;p;SGBP3 2021-2027;2021-2027;S06;Er wordt veel water ingelaten dat niet nodig is voor peilbeheer.;MW;NL11_2_5;1;n;j;Waterschap Amstel Gooi en Vecht ;opzoeken;0;0;0;0;0;0;ESF1;stimuleren;gemeente;;15.72180005;#N/B;stedelijk gebied afkoppelen;1.270493861;mg/m2/dag;;Analyse E. ter Hennepe, 2019;;VaartenRondeHoep;2027;LM_20190916;Amstel;;;
101;71346;NL11;91096;Aanleggen waterberging en natuurontwikkeling langs N201;;SGBP1 2009-2015;2009-2015;IN08;Het gaat om compensatiemaatregelen voor water en natuur in het kader van het Masterplan N201, waarbij wordt uitgegaan van een omvang van een gemiddelde waterbreedte van 10 meter;WB;NL11_2_6;4;km;j;opzoeken;Investering per planperiode=740000.00|Beheer en Onderhoud per planperiode=0.00;0;0;4;0;0;0;ESF4;uitgevoerd;NVT;;11.90153762;#N/B;;0.6;ha;;;1;VaartenWesteramstel;2016;LM_20190916;Amstel;;;
102;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_2_6;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;#N/B;;#N/B;ha;;;1;VaartenWesteramstel;2016;LM_20190916;Amstel;;;
103;76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;p;SGBP2 2015-2021;2015-2021;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_2_6;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;33.38;#N/B;pas in 2027 verwachten we 10% P reductie;0;mg/m2/dag;;;1;VaartenWesteramstel;2021;LM_20190916;Amstel;;;
104;76542;NL11;GEB-yy;Beperken belasting glastuinbouw;p;SGBP2 2015-2021;2015-2021;S05;Deze maatregel wordt genomen in waterlichaam Vaarten Westeramstel, maar heeft ook positief effect voor de Amstellandboezem. ;MW;NL11_2_6;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;loopt;sector glastuinbouw, intern;;33.38;#N/B;alleen glastuinbouw in NLP;1.666666667;mg/m2/dag;;schatting Maarten O, Moria, L;1;VaartenWesteramstel;2021;LM_20190916;Amstel;;;
105;;;;Verdiepen watergangen tot 35 cm.;p;SGBP3 2021-2027;2021-2027;IN12;Alleen bovenwettelijk is DAW, dus er is ook een aanpassing in de keur en handhaving nodig in het bovenstroomse gebied (want de hoofwatergang = KRW = meestal voldoende diep).;;NL11_2_6;7;n;j;Waterschap Amstel Gooi en Vecht ;opzoeken;0;0;0;0;0;0;ESF4;bestuurlijke keuze;intern, bestuurlijke keuze;;4.314694103;#N/B;opmerking voor pbl: diepte is een primaire voorwaarde, zonder verdieping geen ecologie (werkt als een extra P-sink, en een beter temperatuurklimaat);0;mg/m2/dag;;;;VaartenWesteramstel;2027;LM_20190916;Amstel;;;
106;;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;p;SGBP3 2021-2027;2021-2027;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_2_6;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;33.38;#N/B;75% van onverhard is agrarisch - 10% reductie;0.619535454;mg/m2/dag;;NMI, 2019;;VaartenWesteramstel;2027;LM_20190916;Amstel;;;
107;71377;NL11;NL11_0141;Onderzoeken effecten moerasvariant Groot-Mijdrecht;;SGBP1 2009-2015;2009-2015;S01;;WB;NL11_2_7;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;opzoeken;opzoeken;;45.66019328;#N/B;0;0;mg/m2/dag;;;1;VaartenGrootMijdrecht;2016;LM_20190916;Amstel;;;
108;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_2_7;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;#N/B;;#N/B;ha;;;1;VaartenGrootMijdrecht;2016;LM_20190916;Amstel;;;
109;76541;NL11;GEB-y;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 1;p;SGBP2 2015-2021;2015-2021;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_2_7;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;33.38;#N/B;0;0;mg/m2/dag;;NMI, 2019;1;VaartenGrootMijdrecht;2021;LM_20190916;Amstel;;;
110;76508;NL11;90912;Aanleg natuurvriendelijke oevers Marickenland;areaal nieuw;SGBP2 2015-2021;2015-2021;IN07;;WB;NL11_2_7;1;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF4;opzoeken;opzoeken;;45.66019328;#N/B;;;;;;1;VaartenGrootMijdrecht;2021;LM_20190916;Amstel;;;
111;;;;Maatregelen landbouw om nutrientenbelasting op de waterlichamen te beperken fase 2;p;SGBP3 2021-2027;2021-2027;BR01;Deze maatregel wordt uitgevoerd in meerdere waterlichamen: Amstellandboezem, Vaarten Ronde Hoep, Vaarten Groot Mijdrecht, Vaarten Westeramstel, Vaarten Ronde Venen, Vaarten Zevenhoven, Tussenboezem Vinkeveen a, TussenboezemVinkeveen b, Vinkeveense Plassen, Vecht, Vaarten Vechtstreek, Stichts nkeveense Plassen, Kortenhoefse Plassen, Spiegelplas, Wijde Blik, Loosdrechtse Plassen, Steren Zodden, Molenpolder en Tienhoven;MW;NL11_2_7;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;stimuleren;DAW, agrarische collectieven, studieclubs, bedrijven;;33.38;#N/B;0;3.332019695;mg/m2/dag;;NMI, 2019;;VaartenGrootMijdrecht;2027;LM_20190916;Amstel;;;
112;;;;Beperking kwel door toepassing granietslijpsel;p;SGBP3 2021-2027;2021-2027;IM12;Autonoom geen bezwaar, maar nog te weinig onderbouwing om dit direct in te zetten.;WB;NL11_2_7;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;opzoeken;opzoeken;;45.66019328;#N/B;0;0.42;mg/m2/dag;;NMI, 2019;;VaartenGrootMijdrecht;2027;LM_20190916;Amstel;;;
113;71315;NL11;91005;Omleiden van regenwateruitlaten;;SGBP1 2009-2015;2009-2015;IN02;70-80% is eraf;WB;NL11_3_1;1;n;j;Gemeente Amsterdam;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=1300000.00;0;0;0;0;0;1;ESF1;loopt;Gemeente Amsterdam;;24.85416852;9.129171843;0;0.24;mg/m2/dag;;;1;Sloterplas;nvt;LM_20190916;Amsterdam;;;
114;71316;NL11;91006;Uitvoeren maatregelen om Sloterplas van externe belasting te isoleren;;SGBP1 2009-2015;2009-2015;IN02;;WB;NL11_3_1;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=330000.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;1;0;0;ESF1;in onderzoek;Gemeente Amsterdam;;24.85416852;9.129171843;;17.46;mg/m2/dag;;;1;Sloterplas;nvt;LM_20190916;Amsterdam;;;
115;71317;NL11;91007;Beperken van inlaten vanuit andere gebieden;;SGBP1 2009-2015;2009-2015;IN02;gemaal nico broekhuizen wordt geknepen, suizen waar doorheen gevaren wordt kunnen we niet tegenhouden door functie… staat op vervangen;WB;NL11_3_1;1;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=8000.00;0;0;0;0;1;0;ESF1;in onderzoek;Gemeente Amsterdam;;24.85416852;9.129171843;;?;mg/m2/dag;;;1;Sloterplas;nvt;LM_20190916;Amsterdam;;;
116;71301;NL11;90900;Verwijderen drijflagen op en rondom zwemwaterlocatie;;SGBP1 2009-2015;2009-2015;BE03;Het betreft het verwijderen van drijfalgen op ongeveer 5 hectare in de plas;WB;NL11_3_1;0.0001;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=12000.00;0;0;0;0;0;0.0001;NVT;opzoeken;Gemeente Amsterdam;;24.85416852;9.129171843;;;;;;1;Sloterplas;nvt;LM_20190916;Amsterdam;;;
117;71314;NL11;91002;Onderzoeken maatregelen rondom Sloterplas;;SGBP1 2009-2015;2009-2015;S01;Het betreft het uitvoeren van drie deelonderzoeken:1 Onderzoeken mogelijkheden visstandbeheer2 Onderzoeken mogelijkheden aanleg helofytenfilter voor zuiveren afstromend hemelwater3 Onderzoeken mogelijkheden en effecten verondiepen Sloterplas met bagger;WB;NL11_3_1;3;n;j;Waterschap Amstel Gooi en Vecht;Beheer en Onderhoud per planperiode=0.00|Investering per planperiode=188000.00;0;0;3;0;0;0;NVT;opzoeken;Gemeente Amsterdam;;24.85416852;9.129171843;;;;;;1;Sloterplas;2016;LM_20190916;Amsterdam;;;
118;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_3_1;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;9.129171843;;1.369375776;ha;;;1;Sloterplas;2016;LM_20190916;Amsterdam;;;
119;76572;NL11;SL-x;Beperken fosfaatbelasting uit park en inliggende watergangen;p;SGBP2 2015-2021;2015-2021;IM12;PLIKO proef (ijzerhoudende drains). Dit heeft alleen maar zin als de plas geisoleerd wordt. Op zichzelf staand levert dit onvoldoende beslating reductie op. In het park zelf is het duurzamer om op te hogen ipv te draineren.;WB;NL11_3_1;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF1;in onderzoek;Gemeente Amsterdam;;24.85416852;9.129171843;0;0.26;mg/m2/dag;;;1;Sloterplas;2021;LM_20190916;Amsterdam;;;
120;76573;NL11;SL-xx;Beperken interne belasting Sloterplas (waterbodem);p;SGBP2 2015-2021;2015-2021;IM12;Dit zat ook in pakket, met isolatie en is niet zinvol te doen zonder isolatie.;WB;NL11_3_1;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF1;in onderzoek;Gemeente Amsterdam;;24.85416852;9.129171843;0;5.89;mg/m2/dag;;;1;Sloterplas;2021;LM_20190916;Amsterdam;;;
121;76515;NL11;91006;Isoleren Sloterplas van externe belasting;p;SGBP2 2015-2021;2015-2021;IN02;gefaseerd…;WB;NL11_3_1;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF1;in onderzoek;Gemeente Amsterdam;;24.85416852;9.129171843;0;17.46;mg/m2/dag;;;1;Sloterplas;2021;LM_20190916;Amsterdam;;;
122;76514;NL11;91003;Herstel natuurvriendelijke oevers volgens inrichtingsplan Sloterplas;areaal beter;SGBP2 2015-2021;2015-2021;IN08;Deze maatregel staat in het bestuursvoorstel. Verondiepen van de oeverzone voor vegetaties in het zuidelijk deel van de plas. Er wordt nog gekeken naar ontwerpen die technisch haalbaar zijn in andere delen van de plas. Deze levert alleen in een ondiep deel van de plas winst op. Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid. Als vooral diepe delen van de plas worden afgedekt, dan kan ook de wegzijging verminderen (ESF1) en de bodem afdekken (ESF1).;WB;NL11_3_1;3.95;km;j;Gemeente Amsterdam;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;3.95;0;0;0;0;0;ESF2, ESF4;in onderzoek;Gemeente Amsterdam;;24.85416852;9.129171843;;0;;;;1;Sloterplas;2021;LM_20190916;Amsterdam;;;
123;;NL11;;Schutverlies?? Nieuwe doorvaarbare sluizen ;p;SGBP3 2021-2027;2021-2027;IM12;Negatieve maatregel?? : de verwachting is dat dit geen grote impact heeft.;WB;NL11_3_1;1;n;j;Gemeente Amsterdam;opzoeken;0;0;0;0;0;0;ESF1;in onderzoek;Gemeente Amsterdam;;24.85416852;9.129171843;0;0;mg/m2/dag;;;;Sloterplas;2027;LM_20190916;Amsterdam;;;
124;;NL11;;Stimuleren filtering door quagga mossels;mosselen;SGBP3 2021-2027;2021-2027;;Vooral in het westen-midden van de plas: structuur aanbrengen waar mossels op kunnen groeien.;WB;NL11_3_1;1;n;j;Waterschap Amstel Gooi en Vecht & Gemeente Amsterdam;opzoeken;0;0;0;0;0;0;ESF2;in onderzoek;Gemeente Amsterdam;;;9.129171843;;0;mg/m2/dag;;;;Sloterplas;2027;LM_20190916;Amsterdam;;;
125;;;;Verplaatsten gemaal Nico broekhuizen?;p;SGBP3 2021-2027;2021-2027;;Dit levert een zeer grote reductie in de fosforbelasting van de gehele polder (80%?).  Mogelijk onvoldoende om de belasting van de plas te reduceren tot onder de toelaatbare belasting, maar de kwaliteit van de polder en aanvoerwater kan hiermee wel veel verbeteren. ;;NL11_3_1;;;;Waterschap Amstel Gooi en Vecht & Gemeente Amsterdam;opzoeken;0;0;0;0;0;0;ESF1;in onderzoek;Gemeente Amsterdam;;;9.129171843;;?;mg/m2/dag;;;;Sloterplas;2027;LM_20190916;Amsterdam;;;
126;71321;NL11;91024;Beperken belasting Gaasperplas;;SGBP1 2009-2015;2009-2015;IN02;Het gaat om het uitvoeren van twee maatregelen:- Het aanleggen van een bypass voor afvoer van stedelijk water naar het gemaal,- Het verminderen van de afstroom van gebiedsvreemd water naar de plas door de aanleg van een dijk met vrijkomende grond vanuit de aanleg van de bypass.;WB;NL11_3_2;2;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=182000.00|Beheer en Onderhoud per planperiode=0.00;0;0;2;0;0;0;ESF1;uitgevoerd;NVT;;3.87;28.81018767;belasting na Gaaspersingel: ;2.7;mg/m2/dag;;;1;Gaasperplas;2016;LM_20190916;Amsterdam;;;
127;71320;NL11;91023;Ecologisch onderhouden oevers Gaasperplas;;SGBP1 2009-2015;2009-2015;BE06;Het natuurvriendelijk onderhouden van de oevers van de plas door het verwijderen van boom- en groenopslag op de oevers.;WB;NL11_3_2;4;km;j;Groengebied Amstelland;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;4;0;0;0;ESF4;uitgevoerd;Groengebied Amstelland;;3.87;28.81018767;;0.6;ha;;;1;Gaasperplas;2016;LM_20190916;Amsterdam;;;
128;71322;NL11;91026;Onderzoeken KRW-inrichtingsopgave in combinatie met woningbouw;;SGBP1 2009-2015;2009-2015;S01;Het uitvoeren van een onderzoek naar de mogelijkheden om de inrichtingsopgave van 6,3 hectare natuurvriendelijke oevers in combinatie met woningbouwopgave;WB;NL11_3_2;1;n;n;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;NVT;opzoeken;opzoeken;;3.87;28.81018767;;;;;;1;Gaasperplas;2016;LM_20190916;Amsterdam;;;
129;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_3_2;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;28.81018767;;4.321528151;ha;;;1;Gaasperplas;2016;LM_20190916;Amsterdam;;;
130;76577;NL11;x;Onderzoek vispasseerbaar maken sluizen, gemalen en stuwen ;nvt;SGBP2 2015-2021;2015-2021;S01;Gemaal Gaasperplas is niet visvriendelijk en niet vispasseerbaar. Het aanbod van vis is wel heel laag. Een viswering in de Gaaspersingel zou een overweging kunnen zijn. Voor aal is de vraag of er verbinding nodig moet zijn.;MW;NL11_3_2;3;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;1;2;0;0;0;NVT;opzoeken;geen;;;28.81018767;;;;;;1;Gaasperplas;2021;LM_20190916;Amsterdam;;;
131;76543;NL11;G-x;Plan structuurversterking Gaasperplas ism gebiedsontwikkeling;areaal nieuw;SGBP2 2015-2021;2015-2021;S04;De gemeente Amsterdam heeft in samenwerking met AGV een plan opgesteld voor structuurversterking van de Gaasperplas. Dit houdt onder ander in dat: er ondiepe zones worden aangelegd. Deze worden verbonden met de plas mits er geen bomen langs de waterlijn staan, geen vaarbeweging mogelijk is en dat daar waar er ondiepe zones gegraven moet de voedselrijkdom van de toekomstige bodem worden bepaald.;WB;NL11_3_2;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;1;0;0;0;0;0;ESF4;opzoeken;Gemeente Amsterdam;;3.87;28.81018767;;;;;;1;Gaasperplas;2021;LM_20190916;Amsterdam;;;
132;;;;Afkoppelen Gaasperpark/ woonwijk Nellestein;p;SGBP3 2021-2027;2021-2027;IM12;Zorgen dat er geen voedingsstoffen uit dit gebied komt: korte reactietijd bij storingen rioolgemaal en opsporen foutaansluitingen.;WB;NL11_3_2;1;n;j;Waterschap Amstel Gooi en Vecht ;opzoeken;0;0;0;0;0;0;ESF1;in onderzoek;Gemeente Amsterdam;;3.87;28.81018767;Het is de vraag of dit een grote belasting is voor de plas?;0.395;mg/m2/dag;;;;Gaasperplas;2027;LM_20190916;Amsterdam;;;
133;;;;Visvriendelijk maken gemaal;vis;SGBP3 2021-2027;2021-2027;;Het gemaal blijkt zeer visonvriendelijk te zijn. Het aanbod van vis is wel heel laag. Een viswering in de Gaaspersingel zou een overweging kunnen zijn. Voor aal is de vraag of er verbinding nodig moet zijn.;WB;NL11_3_2;;;j;Waterschap Amstel Gooi en Vecht ;opzoeken;0;0;0;0;0;0;ESF5;onderzoeken;interne afweging;;3.87;28.81018767;;;;;;;Gaasperplas;2027;LM_20190916;Amsterdam;;;
134;;;;Natuurlijk verloop oevers ipv harde beschoeiing op overgang land-water;areaal nieuw;SGBP3 2021-2027;2021-2027;;Een aandachtspunt bij graafwerkzaamheden is de woekering van Japanse duizendknoop, die zich gemakkelijk via grondverzet kan verspreiden.;;NL11_3_2;;;;Gemeente Amsterdam;opzoeken;0;0;0;0;0;0;ESF4;stimuleren;Gemeente Amsterdam;;;28.81018767;;;;;;;Gaasperplas;2027;LM_20190916;Amsterdam;;;
135;;;;Verwijderen boom-, struik- en groenopslag langs de oevers;p;SGBP3 2021-2027;2021-2027;BE06;We moeten meer kansen grijpen om gezamelijk met gemeente en groengebied het onderhoud te verbeteren. Dit moet worden opgehangen aan de structuurschets. Deze maatregel heeft ook invloed op ESF4, habitatgeschiktheid.;;NL11_3_2;;;;Waterschap Amstel Gooi en Vecht ;opzoeken;0;0;0;0;0;0;ESF2, ESF4;stimuleren;Gemeente Amsterdam;;3.87;28.81018767;"afkoppelen vermindert de helft van verhard, drainage en uitspoeling; vrijhouden oever 5 % van onverhard (volgens 2220-EAG-1.xlsx)";0.026;mg/m2/dag;;;;Gaasperplas;2027;LM_20190916;Amsterdam;;;
136;71313;NL11;90999;Uitvoeren herstelmaatregelen Ouderkerkerplas;;SGBP1 2009-2015;2009-2015;IN14;Het gaat om het uitvoeren van de volgende waterbeheermaatregelen:- Het optimaliseren van de inlaat vanuit Bullewijk naar de plas- Het toestaan van peilfluctuatie in de plas met als doel het begroeibaar areaal voor waterplanten te vergroten;WB;NL11_3_3;2;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=73000.00|Beheer en Onderhoud per planperiode=0.00;0;0;2;0;0;0;ESF4;uitgevoerd;NVT;;0.350153348;12.0439835;0;0.0976;mg/m2/dag;;;1;Ouderkerkerplas;2016;LM_20190916;Amsterdam;;;
137;71387;NL11;NL11_0179;"Onderzoeken ""Waarom het is, zoals het is?"" in Ouderkerkerplas";;SGBP1 2009-2015;2009-2015;S01;Het uitvoeren van een watersysteemanalyse met als onderzoeksvragen:- Mogelijkheden voor ontwikkeling water- en oeverplanten- Onderzoeken effecten vogelstand- Onderzoeken mogelijkheden aanpak drijfalgen door herinrichting zwemwaterlocatie;WB;NL11_3_3;1;n;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=60000.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;NVT;opzoeken;opzoeken;;0.350153348;12.0439835;;;;;;1;Ouderkerkerplas;2016;LM_20190916;Amsterdam;;;
138;71380;NL11;NL11_0145;Toepassen ecologisch onderhoud oevers hoofdwateren - fase 1;;SGBP1 2009-2015;2009-2015;BE03;Een gebiedsbrede maatregel in alle waterlichamen;MW;NL11_3_3;325;km;j;Waterschap Amstel Gooi en Vecht;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=390000.00;0;0;325;0;0;0;ESF4;uitgevoerd;Uitvoering intern;;;12.0439835;;1.806597525;ha;;;1;Ouderkerkerplas;2016;LM_20190916;Amsterdam;;;
139;76513;NL11;90999;Uitvoeren herstelmaatregelen Ouderkerkerplas;;SGBP2 2015-2021;2015-2021;IN14;Het gaat om het verder uitvoeren van de waterbeheermaatregelen (peilbeheer) om de inlaat naar de plas te optimaliseren en daarmee de belasting te verminderen.Het is de voortzetting van de maatregel uit de planperiode van SGBP-1.;WB;NL11_3_3;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;opzoeken;opzoeken;;0.350153348;12.0439835;0;0.0976;mg/m2/dag;;;1;Ouderkerkerplas;2018;LM_20190916;Amsterdam;;;
140;;;;Zuurstoftoedienen bij waterbodem Ouderkerkerplas;p;SGBP2 2015-2021;2015-2021;IM12;Hoe vaak vindt er evaluatie plaats? Wie organiseerdt dit?;WB;NL11_3_3;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;1;0;0;0;ESF1;uitgevoerd;NUON;;0.350153348;12.0439835;0;?;mg/m2/dag;;;0;Ouderkerkerplas;2018;LM_20190916;Amsterdam;;;
141;76513;NL11;90999;Het verhogen van flexpeil met 10 cm (minpeil en maxpeil 10 cm verhogen). Hiervoor moet gekeken worden naar uitvoerbaarheid.;p;SGBP3 2021-2027;2021-2027;IN14;Verhogen waterpeil iig max peil weer terug naar 3.86, maar liever naar 3.80. De waakhoogte en stabiliteit van de dijklichamen moeten onderzocht worden.;WB;NL11_3_3;1;n;j;Waterschap Amstel Gooi en Vecht ;Investering per planperiode=0.00|Beheer en Onderhoud per planperiode=0.00;0;0;0;0;0;0;ESF1;initiëren;intern;;0.350153348;12.0439835;een kwart van de kwel vermindert door deze maatregel;0.019611487;mg/m2/dag;;;;Ouderkerkerplas;2027;LM_20190916;Amsterdam;;;
142;;;;Onderzoek beperken interne belasting Ouderkerkerplas (waterbodem);nvt;SGBP3 2021-2027;2021-2027;;;MW;NL11_3_3;;;;Waterschap Amstel Gooi en Vecht ;;0;0;0;0;0;0;ESF1;initiëren;intern;;;12.0439835;;?;mg/m2/dag;;;;Ouderkerkerplas;2027;LM_20190916;Amsterdam;;;
143;;;;Vispasseerbaar maken sluizen, gemalen en stuwen - fase 1;;SGBP1 2009-2015;2009-2015;;?;;NL11_3_3;;;;Waterschap Amstel Gooi en Vecht ;;0;0;1;0;0;0;ESF5;uitgevoerd;;;;12.0439835;;;;;;;Ouderkerkerplas;nvt;LM_20191017;Amsterdam;;;
